日期,国家,节日/活动名,节日热搜词,对应品类/款式热搜词,热度推荐,提前两个月标题加关键词
无特定日期,拉美各国,成人礼（Quinceañera）,Quinceañera,vestido para 15 quinceañera / vestidos de 15 años / vestidos de 15 años para quinceañera（15岁成人礼礼物）,4,
2026-07-01,加拿大,加拿大日（Canada Day）,Canada Day；加拿大日；国庆节；枫叶；红色；国旗色；国庆烟花；加拿大国庆,男士夏季T恤；红色配色polo衫；男士短裤；夏季凉鞋；枫叶印花卫衣；国庆派对男士穿搭；红色系男装,4,
2026-07-04,美国,独立日（Independence Day）,Independence Day；独立日；7月4日；星条旗；红白蓝；国旗色；爱国主题；国庆烟花,美国国旗印花T恤；红白蓝配色男装；星条旗短裤；独立日主题polo；男士背心；爱国主题T恤；星条旗泳裤；美国250周年纪念礼物；7月4日女孩/男孩/孕妇穿搭,5,
2026-07-05,牙买加,国际雷鬼日（International Reggae Day）,Reggae Day；雷鬼日；雷鬼音乐；牙买加音乐；金斯敦音乐节；加勒比文化,雷鬼风格男装；牙买加配色T恤；宽松街头卫衣；扎染男士Tee；雷鬼印花短裤；绿色黑系穿搭；嘻哈风男装,2,
2026-07-09,阿根廷,独立日（Día de la Independencia）,Día de la Independencia,,3,
2026-07-17,哥伦比亚,国际萨尔萨节（Feria de Salsa Cali）,Salsa Festival；萨尔萨节；萨尔萨舞；卡利音乐节；拉丁舞蹈；热带音乐,拉丁舞衫；卡利风格印花Tee；舞蹈用宽松裤；古巴领短袖衬衫；热带印花男装；节日派对穿搭,2,
2026-07-18~07-27,巴西,Festa Julina（七月冬季节庆）,Festa Julina；七月节；巴西冬季节庆；圣若昂；方块舞；玉米美食；营火；彩旗,法兰绒格子衬衫；牛仔背带裤；男士冬季卫衣；乡村风格男装；印花T恤；羊毛衫；冬靴；格纹衫,3,
2026-07-20,阿根廷,友谊日（Día del Amigo）,Día del Amigo,,1,
2026-07-20,哥伦比亚,独立日（Día de la Independencia）,Día de la Independencia；哥伦比亚独立日；七月二十日；国庆；黄蓝红；国旗色；波哥大游行,哥伦比亚主题男装；黄蓝红配色T恤；国旗色polo衫；男士休闲短裤；足球风格球衣；国庆派对穿搭；热带风格衬衫,3,
2026-07-25,巴拿马,巴拿马城成立日（Fundación de Panamá Viejo）,Fundación de Panamá；巴拿马城成立日；老巴拿马城；历史纪念；文化遗产,巴拿马主题T恤；热带风格男装；巴拿马帽；休闲亚麻衬衫；轻薄短裤；城市休闲穿搭,1,
